plot,Replication,Treatment,Fresh Yield,Yield,Seedwt,Fbiomass,Pod/plant
1,1,I,8,3.33,482.34,34.22222222,28
2,1,D4,8.53,1.96,299.17,39.77777778,23
3,1,D0,5.78,1.55,308.33,27.11111111,17
4,1,D10,7.87,2.23,472.24,36.22222222,21.5
5,2,I,8.3,2.96,643.41,36.04444444,28.5
6,2,D10,9.33,2.49,491.3,38.66666667,31
7,2,D0,8.53,2.27,473,41.33333333,21
8,2,D4,6.76,2,459.39,41.77777778,16.5
9,3,I,5.96,3.03,331.85,25.01333333,41
10,3,D4,5.16,2.4,374.96,28.82222222,30.5
11,3,D10,5.07,2.29,279.17,28.26666667,32.5
12,3,D0,3.56,1.43,225,26.04444444,19
13,4,I,2.4,1.29,395.37,19.95555556,10.5
14,4,D0,0.71,0.18,310,16.22222222,23
15,4,D4,1.24,0.32,323.85,21.48888889,20
16,4,D10,2.36,0.88,320.34,20.71111111,16
