Replication,plot,Treatment,Seedwt_g,Fbiomass,Podperplant,gsw,E_apparent,VPDleaf,PhiPS2,Plant_Ht_8_Feb,Plant_Ht_10_Mar,Plant_Ht_30_Mar,Plant_Ht_8_Apr,Plant_Ht_30_May,MGVRI,SR,NDVI,MSAVI,SAVI,OSAVI,ARVI,EVI,GCI,SIPI,CI,NDRE,CVI,gNDVI,bNDVI,PI,VARI,ENDVI,GDVI,PSRI,MSRGR,TNDGR,MSR,MCARI,TCARI,MTCI,TCARI.OSAVI,MCARI.OSAVI,RVI,DVI,ARI,ARI2,SRPI,NPCI,VDVI,WDRVI,TVI,RDVI,NDWI,Mean_Soil_Moisture,FyielD_T,Dyield
1,1,I,482.34,34.22,28,0.688767333,8.785950333,1.537405,0.614590333,10,12.9333,34.8333,38.5,81,0.580333333,12.62816667,0.809333333,0.6285,0.3925,0.699666667,0.686333333,0.692666667,4.595,1.0195,1.471833333,0.412833333,2.6455,0.6775,0.830166667,0.152666667,0.487833333,0.735333333,0.968666667,-0.086,1.439,0.910833333,2.991333333,0.584166667,1.752666667,1.89,2.352833333,0.784166667,12.62816667,0.392166667,7.0685,3.123166667,0.971833333,0.024,0.345833333,0.3475,25.0475,0.5605,0.677551554,32.67,8,3.33
1,2,D4,299.17,39.78,23,0.3714015,9.189785,1.8301875,0.5614155,11.5,14,30,35,86,0.411833333,7.738,0.7375,0.5385,0.345333333,0.631666667,0.583666667,0.6065,3.660666667,1.037666667,1.285666667,0.382666667,2.893166667,0.6305,0.779166667,0.148833333,0.3285,0.668,0.946166667,-0.074666667,1.2575,0.847166667,2.193166667,0.332666667,0.998333333,1.886,1.526833333,0.508833333,7.738,0.336666667,5.913666667,2.375333333,0.853333333,0.083,0.2575,0.1645,21.38166667,0.497333333,0.630675288,23.64,8.53,1.96
1,3,D0,308.33,27.11,17,0.4785215,4.718768,2.166684,0.401109,10.3,9.3,27.5,38,82,0.421166667,8.6365,0.737,0.543,0.3465,0.632,0.5865,0.6085,3.8415,1.041166667,1.335666667,0.387166667,2.8805,0.632166667,0.779333333,0.147333333,0.342666667,0.6695,0.9415,-0.0725,1.2755,0.851333333,2.300333333,0.350833333,1.0525,1.9315,1.577666667,0.526,8.6365,0.338,6.112833333,2.506166667,0.874,0.0735,0.262333333,0.176666667,21.449,0.498166667,0.632298173,24.27,5.78,1.55
1,4,D10,472.24,36.22,21.5,0.5039875,7.767488,1.948411,0.5511185,10.5,8,32,38,96,0.432833333,8.948,0.746166667,0.557,0.354333333,0.642333333,0.598666667,0.623,3.973166667,1.038666667,1.373333333,0.3935,2.9175,0.6405,0.785666667,0.144833333,0.353666667,0.677333333,0.944666667,-0.072333333,1.284833333,0.855333333,2.3675,0.363833333,1.091666667,1.957666667,1.616,0.538833333,8.948,0.347166667,6.2165,2.599833333,0.884333333,0.068166667,0.266666667,0.197,22.02516667,0.508,0.640620368,22.76,7.87,2.23
2,5,I,643.41,36.04,28.5,0.716919,9.312871,1.558958667,0.612779667,10.85,18.6667,32.6667,36.5,74,0.571,12.68583333,0.802833333,0.627666667,0.3925,0.696333333,0.678666667,0.691,4.6345,1.0235,1.482,0.412,2.670333333,0.6745,0.827166667,0.152666667,0.4815,0.7325,0.965,-0.0845,1.430166667,0.907666667,2.978166667,0.5705,1.710833333,1.906833333,2.305833333,0.768666667,12.68583333,0.392166667,7.0105,3.1525,0.970333333,0.026666667,0.341,0.3375,25.02216667,0.558833333,0.674505278,30.87,8.3,2.96
2,6,D10,491.3,38.67,31,0.4815875,7.898482,1.9228425,0.5780885,10.6,15.5,35,40,84,0.403166667,7.773,0.74,0.531833333,0.341,0.629833333,0.586666667,0.598666667,3.757166667,1.036166667,1.364333333,0.396,2.9885,0.636666667,0.780833333,0.144166667,0.322833333,0.668333333,0.948166667,-0.072333333,1.249166667,0.844,2.2035,0.3015,0.904333333,2.020833333,1.395833333,0.465166667,7.773,0.329666667,6.108166667,2.392833333,0.857166667,0.080666667,0.251,0.1685,20.9035,0.492833333,0.636551092,20.16,9.33,2.49
2,7,D0,473,41.33,21,0.2941745,4.693257,1.748445,0.534872,9,14.3,29.5,30,60,0.374166667,7.1525,0.715666667,0.505666667,0.326166667,0.606666667,0.556333333,0.57,3.497166667,1.047666667,1.2655,0.377166667,2.908,0.617166667,0.7655,0.1485,0.297666667,0.651666667,0.933833333,-0.069666667,1.228833333,0.834,2.064333333,0.282666667,0.848,1.918833333,1.349333333,0.449666667,7.1525,0.313,5.847666667,2.231666667,0.835166667,0.093833333,0.2405,0.123666667,19.84366667,0.472666667,0.617259337,20.21,8.53,2.27
2,8,D4,459.39,41.78,16.5,0.2820175,6.6324875,2.0174245,0.586828,10.3,14.5,26,29,59,0.395166667,7.763666667,0.7255,0.5185,0.332666667,0.616333333,0.569666667,0.581833333,3.646666667,1.044833333,1.296666667,0.381833333,2.900333333,0.624,0.7725,0.148333333,0.317333333,0.660166667,0.938333333,-0.071333333,1.248833333,0.841833333,2.164833333,0.306666667,0.920166667,1.927166667,1.432666667,0.4775,7.763666667,0.32,6.034666667,2.35,0.850666667,0.085833333,0.2505,0.147166667,20.30733333,0.481333333,0.624124537,19.09,6.76,2
3,9,I,331.85,25.01,41,0.953308667,11.13680767,1.579366,0.626683333,13.3,13.6667,35.9333,38.5,77,0.571666667,10.61683333,0.7965,0.611833333,0.384166667,0.689333333,0.6645,0.674166667,4.049833333,1.023333333,1.279333333,0.381166667,2.497166667,0.655166667,0.823333333,0.168333333,0.465166667,0.727333333,0.967166667,-0.0945,1.410833333,0.905333333,2.722666667,0.554666667,1.6635,1.658833333,2.34,0.779833333,10.61683333,0.3795,6.422666667,2.770833333,0.914833333,0.051833333,0.345333333,0.303666667,24.38166667,0.5485,0.655141693,30.5,5.96,3.03
3,10,D4,374.96,28.82,30.5,0.3009425,10.1135515,2.1619005,0.613187,10.2,15.4,33.5,38,81.5,0.484333333,8.005,0.751,0.560666667,0.359166667,0.648666667,0.5995,0.632166667,3.431833333,1.032,1.156833333,0.3585,2.526666667,0.619166667,0.7885,0.169666667,0.384833333,0.6815,0.954,-0.093,1.316166667,0.8725,2.261333333,0.420333333,1.261666667,1.616333333,1.907333333,0.635833333,8.005,0.3525,5.479666667,2.275333333,0.864666667,0.076666667,0.296833333,0.1885,22.68166667,0.514,0.619071219,18.3,5.16,2.4
3,11,D10,279.17,28.27,32.5,0.70596,3.5295085,1.301627,0.644723,14.1,15.5,33.5,40,84,0.464833333,7.1295,0.738166667,0.535333333,0.345,0.632333333,0.580333333,0.6045,3.187833333,1.035,1.077333333,0.344,2.492,0.605166667,0.781166667,0.176,0.362166667,0.6725,0.951833333,-0.0955,1.2925,0.864666667,2.111166667,0.387333333,1.161833333,1.5365,1.821,0.607166667,7.1295,0.335166667,5.318666667,2.110166667,0.833666667,0.093333333,0.289666667,0.152666667,21.60833333,0.497,0.605323854,19.51,5.07,2.29
3,12,D0,225,26.04,19,0.201766,5.5901325,2.193902,0.566779,13,15.5,29.5,28,64,0.408333333,6.661166667,0.714666667,0.499,0.322666667,0.604333333,0.551166667,0.562666667,3.119833333,1.047,1.064666667,0.340666667,2.603666667,0.598333333,0.767166667,0.168666667,0.3185,0.654666667,0.9385,-0.084166667,1.2515,0.8455,1.991333333,0.3285,0.985,1.5755,1.599666667,0.533166667,6.661166667,0.308333333,5.502333333,2.055,0.817,0.104,0.263166667,0.1105,19.7625,0.469166667,0.598395813,18.54,3.56,1.43
4,13,I,395.37,19.96,10.5,0.692417,9.606485333,1.670110333,0.642248,12.75,14.7333,40.1667,36.5,77,0.532833333,9.217333333,0.779666667,0.589333333,0.373666667,0.6735,0.6385,0.6565,3.7375,1.025666667,1.214833333,0.3715,2.5205,0.641166667,0.810833333,0.1695,0.427666667,0.709666667,0.9645,-0.094,1.365833333,0.890333333,2.497,0.489333333,1.468166667,1.628,2.127166667,0.709,9.217333333,0.367666667,6.005166667,2.522666667,0.885833333,0.066666667,0.324333333,0.254333333,23.66266667,0.534666667,0.641227051,29.01,2.4,1.29
4,14,D0,310,16.22,23,0.11549,3.047043,2.7094215,0.4845395,13.8,11,24,30,53,0.404333333,6.388166667,0.711666667,0.507,0.329666667,0.607333333,0.546,0.576,3.0415,1.043666667,1.058,0.339833333,2.588,0.593666667,0.762666667,0.168833333,0.3135,0.648833333,0.939666667,-0.0865,1.244166667,0.8435,1.942833333,0.325,0.975333333,1.582166667,1.589166667,0.529666667,6.388166667,0.318333333,5.1415,1.983166667,0.814833333,0.1045,0.259666667,0.0985,20.41766667,0.475666667,0.593656017,17.21,0.71,0.18
4,15,D4,323.85,21.49,20,0.2319865,5.1836155,2.6291425,0.492485,10.8,11.5,37,32,71,0.409166667,6.456833333,0.706833333,0.505166667,0.328333333,0.603833333,0.541,0.573166667,2.992333333,1.049,1.0245,0.331333333,2.518666667,0.587666667,0.761166667,0.1735,0.318666667,0.648333333,0.934833333,-0.087,1.2515,0.845833333,1.943333333,0.338,1.014,1.517,1.649833333,0.549833333,6.456833333,0.317333333,5.0885,1.968166667,0.814333333,0.105833333,0.264166667,0.094666667,20.395,0.4735,0.58774337,17.57,1.24,0.32
4,16,D10,320.34,20.71,16,0.5659715,12.914171,2.113283,0.500783,12.6,13.5,37,41,80,0.44,7.138666667,0.730666667,0.525666667,0.338666667,0.623833333,0.5715,0.592,3.2405,1.041166667,1.089,0.344833333,2.575,0.607166667,0.777666667,0.170166667,0.346,0.6675,0.945833333,-0.087833333,1.276666667,0.8565,2.095833333,0.367166667,1.1015,1.562666667,1.741,0.580166667,7.138666667,0.327,5.507333333,2.151333333,0.834333333,0.094833333,0.2775,0.143,20.984,0.488333333,0.607469719,17.7,2.36,0.88
