plot_no,trt,8_APR,4_March ,15_March,26_March,7_April,16_April,28_April,Mean_soil_moisture
1,I,30.3,32.4,33.6,32.12,34.5,32.7,33.1,32.67428571
2,D4,23.7,23.7,25.2,24.3,23.5,24.1,21,23.64285714
3,D0,22.2,26.4,28.6,25.8,24.2,23.7,19,24.27142857
4,D10,23.3,23.2,25.5,22.5,23.6,21.7,19.5,22.75714286
5,I,31,31.1,29.4,30.12,32.4,30.8,31.3,30.87428571
6,D10,20.9,19.4,21.7,20.7,20.7,20.3,17.4,20.15714286
7,D0,23.8,22.8,21.4,19.4,19.2,19.3,15.6,20.21428571
8,D4,19.3,20.1,22.2,19.6,19.9,17.8,14.7,19.08571429
9,I,29.2,30.8,29.6,31.39,30.9,29.6,32,30.49857143
10,D4,18.7,22.4,18.9,17.8,18.8,16.8,14.7,18.3
11,D10,17.8,27.9,20.4,18.7,17.6,17.4,16.8,19.51428571
12,D0,17.4,26.6,18.8,17.8,16,17.8,15.4,18.54285714
13,I,29,29.7,28.6,29,29.3,28,29.5,29.01428571
14,D0,19.6,14.1,19.6,17.9,18.3,17,14,17.21428571
15,D4,17.8,18.2,19.3,17.5,17.8,16.8,15.6,17.57142857
16,D10,18.2,16.8,18.6,18.3,17.1,17.6,17.3,17.7
