YEAR,Day of Year,Temperature at 2 m (oC),Rainfall (mm)
2024,58,21.57,0
2024,59,22.81,0
2024,60,22.81,0
2024,61,22.18,0
2024,62,22.5,0
2024,63,24,0.01
2024,64,23.49,1.09
2024,65,23.98,1.14
2024,66,22.99,0
2024,67,23.25,0
2024,68,23.67,0
2024,69,23.63,0
2024,70,23.01,0
2024,71,22.88,0
2024,72,25.3,0
2024,73,25.89,0
2024,74,26.57,2.36
2024,75,27.55,4.51
2024,76,27.13,5.91
2024,77,27.74,1.35
2024,78,28.28,0.97
2024,79,27.89,1.21
2024,80,24.5,8.05
2024,81,23.94,3.11
2024,82,24.02,4.61
2024,83,24.61,8.67
2024,84,26.45,13.54
2024,85,26.2,10.08
2024,86,26.66,11.95
2024,87,27.23,0.09
2024,88,27.18,1.82
2024,89,26.91,3.89
2024,90,27.58,11.93
2024,91,28.63,17.01
2024,92,28.41,25.61
2024,93,28.88,0.35
2024,94,29.15,1.1
2024,95,29.31,0.74
2024,96,29.33,0.72
2024,97,30.38,0.13
2024,98,29.73,3.78
2024,99,29.04,0.12
2024,100,29.34,0
2024,101,29.63,0
2024,102,28.88,0
2024,103,29.96,0
2024,104,29.74,0
2024,105,30.58,0
2024,106,31.32,0.01
2024,107,31.43,1.38
2024,108,30.87,6.58
2024,109,30.75,7.51
2024,110,31.27,3.72
2024,111,31.72,3.13
2024,112,31.9,0.3
2024,113,32.09,1.21
2024,114,31.32,0.63
2024,115,32.15,0
2024,116,32.86,0.09
2024,117,32.64,0.29
2024,118,32.37,1.83
2024,119,33.08,1.19
2024,120,33.14,1.52
2024,121,33.55,0.08
